Keyword,Cluster,Intent,Demand,Competition,Opportunity,Commercial value,Geography,Audience,Funnel stage,Competitor ownership,SEO target,GEO/AEO target,Recommended page,Schema type,Brand-voice check,Priority
P.S. Coffee waitlist,Consumer,Transactional,Low,Low,High,High,India,Consumer,BOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Coffee opening date,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,None,Yes,Yes,Homepage,Organization,Clear,P1
P.S. Coffee host a Pod,Consumer,Transactional,Low,Low,High,High,India,Consumer,BOFU,None,Yes,Yes,Homepage,Organization,Clear,P0
grab and go coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P0
grab and go coffee India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P0
grab and go specialty coffee,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P0
specialty coffee India,Consumer,Informational,High,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
what is specialty coffee,Consumer,Informational,High,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,Journal post,FAQPage,Clear,P1
specialty grade coffee meaning,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
daily coffee habit,Consumer,Informational,Low,Low,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
everyday coffee India,Consumer,Informational,Low,Low,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
coffee without queue,Consumer,Informational,Low,Low,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
quick coffee before work,Consumer,Informational,Medium,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
coffee to go near me,Consumer,Informational,High,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
takeaway coffee India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
compact coffee format,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
coffee counter vs cafe,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
what is a coffee pod shop,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,Journal post,FAQPage,Clear,P0
coffee kiosk,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Meta and FAQ question text only,P0
coffee kiosk India,Consumer,Informational,Medium,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Meta and FAQ question text only,P0
small format coffee shop,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
coffee shop without seating,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
ground at order coffee,Consumer,Informational,Low,Low,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
fresh ground coffee vs pre ground,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
ordering coffee ahead app,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
coffee subscription India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
coffee pass India,Consumer,Informational,Low,Low,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P3
affordable specialty coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Meta and FAQ question text only,P1
specialty coffee price India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Meta and FAQ question text only,P1
why is specialty coffee expensive,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,Journal post,FAQPage,Meta and FAQ question text only,P1
coffee for people who drink it daily,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
best grab and go coffee brand India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Meta and FAQ question text only,P1
Indian coffee brands 2026,Consumer,Informational,Medium,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P2
coffee market India 2030,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P3
coffee culture Gujarat,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P1
specialty coffee Gujarat,Consumer,Informational,Low,Low,High,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P0
third wave coffee India,Consumer,Informational,Medium,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,FAQ,FAQPage,Clear,P3
what is a barista,Consumer,Informational,High,High,Low,Medium,India,Consumer,TOFU,Chains and aggregators,Yes,Yes,Journal post,FAQPage,Clear,P2
coffee near Prahlad Nagar,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Prahlad Nagar,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Prahlad Nagar,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near SG Highway,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee SG Highway,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee SG Highway,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Satellite,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Satellite,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Satellite,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Bodakdev,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Bodakdev,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Bodakdev,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Vastrapur,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Vastrapur,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Vastrapur,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Thaltej,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Thaltej,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Thaltej,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Makarba,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Makarba,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Makarba,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Sindhu Bhavan Road,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Sindhu Bhavan Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Sindhu Bhavan Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Navrangpura,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Navrangpura,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Navrangpura,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near CG Road,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee CG Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee CG Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Ashram Road,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Ashram Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Ashram Road,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Science City,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Science City,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Science City,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Shela,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Shela,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Shela,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near South Bopal,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee South Bopal,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee South Bopal,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Gota,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Gota,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Gota,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Chandkheda,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Chandkheda,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Chandkheda,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Maninagar,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Maninagar,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Maninagar,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Nikol,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Nikol,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Nikol,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Bopal,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Bopal,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Bopal,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee near Ambli,Consumer,Commercial,Medium,Medium,Medium,Medium,Ahmedabad,Consumer,MOFU,Local cafes and Zomato listings,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
specialty coffee Ambli,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,Thin,Yes,Yes,Locality landing,LocalBusiness,Clear,P1
grab and go coffee Ambli,Consumer,Commercial,Low,Low,High,Medium,Ahmedabad,Consumer,MOFU,None,Yes,Yes,Locality landing,LocalBusiness,Clear,P2
coffee GIFT City,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P0
specialty coffee Gandhinagar,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P0
coffee near GIFT City,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P0
grab and go coffee GIFT City,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
coffee for offices GIFT City,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P0
cafe in GIFT City,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
GIFT City food court coffee,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
coffee Infocity Gandhinagar,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
coffee near TCS Gandhinagar,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
coffee Sector 21 Gandhinagar,Consumer,Commercial,Low,Low,Medium,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P2
best coffee Gandhinagar,Consumer,Commercial,Low,Low,Medium,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Meta and FAQ question text only,P2
coffee delivery GIFT City,Consumer,Commercial,Low,Low,Medium,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P2
GCC amenities coffee partner,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
coffee kiosk tech park Gujarat,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Meta and FAQ question text only,P1
coffee vendor GIFT City tower,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
where can I get coffee in GIFT City,Consumer,Informational,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,FAQPage,Clear,P0
is there specialty coffee in Gandhinagar,Consumer,Informational,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,FAQPage,Clear,P0
coffee options GIFT City offices,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P1
Gandhinagar coffee shop list,Consumer,Commercial,Low,Low,Medium,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P2
Gandhinagar grab and go coffee,Consumer,Commercial,Low,Low,High,High,Gandhinagar / GIFT City,Consumer,MOFU,Almost none,Yes,Yes,GIFT City locality page,LocalBusiness,Clear,P2
ceremonial grade matcha,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
what is ceremonial grade matcha,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
ceremonial vs culinary matcha,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
matcha Ahmedabad,Consumer,Commercial,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
matcha latte India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
whisked matcha vs powder mix,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
hojicha India,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
iced matcha Ahmedabad,Consumer,Commercial,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
matcha near me Ahmedabad,Consumer,Commercial,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
is matcha better than coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
protein coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
protein coffee India,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P0
20g protein coffee,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
post workout coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
pre workout coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
gym coffee drink,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
protein shake vs protein coffee,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
cold brew India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
what is cold brew coffee,Consumer,Informational,Medium,Medium,Low,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
cold brew vs iced coffee,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
americano vs long black,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
flat white vs latte vs cappuccino,Consumer,Informational,Medium,Medium,Low,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
how many ways to make an americano,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
rotating coffee menu,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P1
numbered coffee variants,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
oat milk coffee India,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P2
coffee with oat milk no surcharge,Consumer,Informational,Medium,Medium,High,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P3
filter coffee vs americano,Consumer,Informational,Medium,Medium,Medium,Medium,India,Consumer,TOFU,Thin in Gujarat,Yes,Yes,Journal post,FAQPage,Clear,P3
